"Year","Montgomery.AL","Mobile.AL","Phoenix.AZ","Flagstaff.AZ","Fort.Smith.AR","Sacramento.CA","Los.Angeles.CA","Fresno.CA","Eureka.CA","Grand.Junction.CO","Denver.CO","Colorado.Springs.CO","Tampa.FL","Pensacola.FL","Jacksonville.FL","Washington.DC.DC","Savannah.GA","Augusta.GA","Atlanta.GA","Boise.ID","Springfield..IL","Moline.IL","Chicago.IL","Indianapolis.IN","Evansville.IN","Cedar.Rapids.IA","Dubuque.IA","Des.Moines.IA","Topeka.KS","Dodge.City.KS","Concordia.KS","Louisville.KY","Shreveport.LA","Portland.ME","Baltimore.MD","Boston.MA","Sault.Ste.Marie.MI","Marquette.MI","Lansing.MI","Grand.Rapids.MI","Detroit.MI","Minneapolis.MN","Duluth.MN","Meridian.MS","Springfield.MO","Kansas.City.MO","Helena.MT","Havre.MT","Valentine.NE","Omaha.NE","North.Platte.NE","Winnemucca.NV","Concord.NH","Roswell.NM","Albuquerque.NM","Rochester.NY","New.York.NY","Albany.NY","Raleigh.NC","Charlotte.NC","Williston.ND","Fargo.ND","Bismarck.ND","Columbus.OH","Oklahoma.OK","Pittsburgh.PA","Philadelphia.PA","Middletown.Harrisburg.PA","Erie.PA","Columbia.SC","Sioux.Falls.SD","Huron.SD","Nashville.TN","Memphis.TN","Chattanooga.TN","San.Antonio.TX","Houston.TX","Dallas.Fort.Worth.TX","Corpus.Christi.TX","Amarillo.TX","Abilene.TX","Salt.Lake.City.UT","Norfolk.VA","Lynchburg.VA","Spokane.WA","Seattle.WA","Eau.Claire.WI","Milwaukee.WI","Madison.WI","La.Crosse.WI","Green.Bay.WI","Lander.WY","Cheyenne.WY"
2000,-0.311,-0.169,3.119,NA,0.221,2.669,2.628,1.019,1.456,0.56,0.149,0.495,1.067,0.546,-0.534,1.705,0.097,-0.581,1.283,1.171,-0.109,0.393,0.014,0.405,-0.11,-0.216,-0.594,0.242,0.201,0.2,-0.023,NA,0.077,0.829,-0.079,1.136,1.001,-1.371,0.548,0.049,1.223,0.744,0.677,0.386,-0.109,-1.054,0.376,0.615,0.375,-0.147,-0.142,0.451,0.588,1.901,1.751,0.272,1.569,0.09,0.179,0.708,0.502,1.367,1.217,0.788,0.329,-0.124,1.444,1.135,0.984,0.177,-0.265,0.767,0.309,0.884,0.595,0.691,0.2,0.58,1.042,0.171,0.197,1.466,0.827,-0.585,-0.351,0.973,0.411,1.798,0.717,1.181,0.582,1.641,1.067
2001,-0.455,-0.219,3.2,NA,0.255,2.73,2.453,1.125,1.425,0.883,0.167,0.553,0.972,0.441,-0.742,1.534,-0.11,-0.73,1.16,1.34,-0.177,0.386,-0.027,0.354,-0.203,-0.302,-0.6,0.241,0.188,0.137,-0.094,NA,0.039,0.801,-0.271,1.05,1.187,-1.186,0.552,0.025,1.177,0.918,0.89,0.158,-0.177,-1.062,0.541,0.8,0.498,-0.089,-0.326,0.576,0.505,1.959,1.913,0.257,1.469,0.04,0.09,0.452,0.299,1.337,1.208,0.688,0.261,-0.33,1.348,0.968,0.843,0.088,-0.37,0.606,0.15,0.823,0.494,0.593,0.118,0.535,0.988,0.339,0.267,1.664,0.609,-0.897,-0.359,0.817,0.503,1.723,0.752,1.264,0.652,1.729,1.179
2002,-0.308,-0.187,3.272,NA,0.301,2.607,2.098,1.032,1.149,0.906,0.064,0.553,1.11,0.457,-0.717,1.792,-0.061,-0.622,1.253,1.26,-0.159,0.551,0.202,0.535,-0.122,-0.206,-0.443,0.318,0.316,0.257,0.056,NA,0.086,0.58,-0.069,1.324,1.542,-1.008,0.735,0.172,1.406,1.086,0.949,0.19,-0.159,-0.89,0.483,0.486,0.583,0.019,-0.3,0.414,0.706,2.048,2.096,0.63,1.722,0.311,0.249,0.417,0.039,1.371,1.236,0.897,0.149,-0.158,1.583,1.143,1,0.256,-0.296,0.737,0.248,0.886,0.819,0.546,0.177,0.479,1.039,0.405,0.239,1.5,0.804,-0.886,-0.585,0.553,0.653,1.899,0.882,1.446,0.796,1.523,1.106
2003,-0.328,-0.081,3.441,NA,0.393,2.654,1.924,1.16,1.164,1.141,0.18,0.805,1.166,0.431,-0.743,1.661,-0.143,-0.822,1.087,1.871,-0.179,0.623,0.248,0.533,-0.217,-0.118,-0.392,0.576,0.593,0.546,0.387,NA,0.19,0.816,-0.204,1.182,1.736,-0.986,0.691,0.173,1.314,1.372,1.069,0.071,-0.179,-0.65,1.055,0.757,0.937,0.3,0.079,0.773,0.675,2.201,2.259,0.624,1.513,0.276,0.194,0.15,0.112,1.546,1.557,0.828,0.316,-0.315,1.4,0.996,0.864,0.194,-0.038,1.035,0.21,0.866,0.661,0.545,0.261,0.545,1.055,0.689,0.357,1.969,0.814,-1.131,-0.235,0.638,0.852,1.809,0.857,1.649,0.783,1.988,1.448
2004,-0.241,-0.022,3.572,NA,0.428,2.736,1.706,1.256,1.24,0.863,-0.122,0.695,1.068,0.387,-0.839,1.626,-0.314,-0.822,0.938,1.939,-0.231,0.71,0.234,0.542,-0.295,-0.118,-0.339,0.647,0.605,0.563,0.444,NA,0.236,NA,-0.287,1.034,1.818,-1.02,0.776,0.266,1.28,1.46,0.988,-0.087,-0.231,-0.631,1.045,0.736,1.051,0.338,0.038,0.738,0.742,1.97,2.072,0.549,1.435,0.344,0.219,-0.037,0.083,1.481,1.728,0.853,0.44,-0.325,1.275,1.047,0.85,0.181,0,1.228,0.238,0.905,0.705,0.426,0.293,0.58,1.04,0.661,0.276,1.711,0.69,-1.229,-0.243,0.627,0.865,1.63,0.876,1.679,0.744,1.715,1.374
2005,-0.273,-0.007,3.708,NA,0.66,2.657,1.436,1.289,1.12,0.796,0.045,0.881,1.056,0.401,-0.84,1.632,-0.473,-0.775,0.85,1.959,-0.07,0.988,0.349,0.656,-0.36,-0.128,-0.193,0.9,0.778,0.806,0.673,NA,0.378,NA,-0.435,0.982,2.093,-0.865,1.037,0.415,1.355,1.724,1.136,-0.125,-0.07,-0.399,1.25,0.976,1.17,0.562,0.144,0.575,0.728,1.836,1.988,0.52,1.473,0.43,0.294,-0.053,0.319,1.71,2.071,0.978,0.68,-0.354,1.22,1.107,0.87,0.174,0.137,1.499,0.33,1.117,0.804,0.494,0.301,0.768,1.116,0.705,0.403,1.662,0.595,-1.309,-0.254,0.477,1.093,1.691,1.001,1.81,0.816,1.785,1.524
2006,-0.014,0.188,3.748,0.746,1.063,2.431,1.35,1.226,1.017,0.747,0.244,1.003,1.201,0.616,-0.688,1.87,-0.409,-0.543,0.92,2.107,0.344,1.524,0.818,0.987,-0.047,0.261,0.27,1.523,1.281,1.154,1.11,NA,0.689,NA,-0.076,1.212,2.659,-0.4,1.443,0.812,1.756,2.43,1.796,0.099,0.344,0.237,2.037,1.668,1.673,1.105,0.542,0.456,1.024,1.814,1.957,0.987,1.79,0.764,0.549,0.028,0.994,2.48,2.83,1.29,1.118,-0.151,1.606,1.404,1.193,0.323,0.779,2.162,0.649,1.421,1.108,0.717,0.446,1.128,1.297,0.806,0.643,1.616,0.878,-1.108,0.114,0.613,1.746,2.108,1.498,2.301,1.341,1.964,1.73
2007,0.257,0.308,3.914,0.932,1.282,2.179,1.078,1.196,0.814,0.883,0.442,1.241,1.27,0.777,-0.64,1.98,-0.24,-0.289,1.252,2.236,0.65,1.814,1.094,1.353,0.369,0.348,0.459,1.756,1.552,1.33,1.262,NA,0.984,NA,0.088,1.288,2.894,-0.192,1.79,1.167,2.008,2.777,2.008,0.268,0.65,0.487,2.551,1.84,1.868,1.259,0.63,0.463,1.092,2.011,2.124,1.259,1.875,0.896,0.916,0.114,1.125,2.744,2.873,1.605,1.36,0.07,1.765,1.45,1.393,0.54,1.128,2.299,1.063,1.845,1.5,0.814,0.72,1.432,1.383,1.006,0.738,1.66,1.089,-0.794,0.158,0.563,1.909,2.378,1.763,2.442,1.686,2.199,1.946
2008,0.096,0.128,4.195,1.166,0.993,2.188,1.103,1.472,0.624,0.734,0.418,1.242,1.175,0.645,-0.89,1.893,-0.321,-0.421,1.149,2.099,0.27,1.356,0.618,1.026,0.086,-0.193,-0.094,1.369,1.231,1.161,0.906,NA,0.738,NA,-0.085,1.181,2.434,-0.644,1.494,0.836,1.626,2.366,1.476,0.086,0.27,0.078,2.591,1.514,1.595,0.887,0.446,0.504,0.831,1.989,2.128,1.082,1.692,0.734,0.898,-0.181,0.857,2.221,2.524,1.305,1.153,-0.235,1.59,1.147,1.119,0.365,0.83,1.846,0.817,1.587,1.312,0.897,0.669,1.471,1.263,0.873,0.545,1.563,1.007,-0.913,-0.201,0.402,1.252,1.991,1.288,1.75,1.248,2.132,1.815
2009,0.046,0.085,4.375,1.224,0.798,2.249,1.301,1.642,0.696,0.612,0.262,1.089,1.215,0.574,-0.879,1.737,-0.302,-0.414,1.044,2.091,0.196,1.122,0.374,0.886,0.015,-0.48,-0.394,1.213,1.018,0.979,0.636,NA,0.591,NA,-0.192,0.986,2.188,-0.961,1.401,0.693,1.431,2.131,1.222,-0.009,0.196,-0.114,2.525,1.053,1.234,0.609,0.173,0.54,0.58,1.99,2.19,0.87,1.446,0.583,0.948,-0.218,0.429,1.84,2.109,1.1,0.951,-0.335,1.475,0.901,0.901,0.348,0.583,1.396,0.626,1.376,1.16,0.975,0.673,1.256,1.319,0.842,0.418,1.45,0.923,-0.978,-0.302,0.474,0.903,1.774,1.037,1.351,0.993,1.882,1.579
2010,0.004,-0.045,4.418,1.086,0.897,2.147,1.363,1.635,0.625,0.423,0.297,1.217,1.067,0.435,-0.918,2.019,-0.216,-0.348,1.093,2.151,0.386,1.238,0.55,1.101,0.19,-0.449,-0.349,1.28,1.033,1.013,0.536,NA,0.602,NA,0.071,1.309,2.515,-0.676,1.702,1.013,1.648,2.319,1.461,-0.137,0.386,-0.067,2.411,0.789,1.294,0.579,0.151,0.477,0.855,1.867,2.176,1.041,1.743,0.905,1.175,-0.076,0.405,2.005,2.029,1.234,1.007,-0.208,1.778,1.088,1.01,0.454,0.614,1.363,0.623,1.413,1.172,0.833,0.655,1.234,1.147,0.782,0.283,1.35,1.031,-0.804,-0.057,0.598,1.052,2.021,1.211,1.427,1.285,1.815,1.524
2011,0.186,0.045,4.361,0.998,1.089,1.891,1.354,1.481,0.528,0.201,0.237,1.313,1.198,0.527,-0.849,2.158,-0.06,-0.191,1.262,2.112,0.487,1.202,0.552,1.19,0.273,-0.481,-0.402,1.365,1.006,1.029,0.422,NA,0.858,NA,0.242,1.389,2.435,-0.81,1.671,1.061,1.609,2.333,1.395,-0.109,0.487,-0.145,2.193,0.395,1.071,0.528,0.121,0.202,0.926,1.924,2.163,1.018,1.765,0.965,1.335,0.019,0.33,1.991,1.766,1.246,1.219,-0.147,1.84,1.153,0.993,0.611,0.533,1.299,0.686,1.501,1.301,1.142,0.979,1.53,1.29,0.848,0.552,1.151,1.248,-0.608,-0.086,0.574,0.943,1.96,1.18,1.339,1.178,1.643,1.36
2012,0.408,0.233,4.425,1.041,1.564,1.892,1.461,1.697,0.444,0.401,0.623,1.647,1.303,0.765,-0.794,2.38,0.056,-0.084,1.536,2.397,0.857,1.391,0.916,1.436,0.513,-0.264,-0.162,1.836,1.389,1.303,0.651,NA,1.166,NA,0.46,1.518,2.726,-0.466,2.034,1.483,1.895,2.714,1.838,-0.043,0.857,0.163,2.392,0.733,1.451,0.889,0.396,0.328,1.139,2.137,2.338,1.187,1.854,1.17,1.491,0.182,0.711,2.387,1.982,1.462,1.709,0.016,1.969,1.289,1.2,0.781,0.892,1.56,0.908,1.805,1.445,1.408,1.251,1.926,1.633,1.252,0.968,1.607,1.351,-0.482,0.108,0.639,1.22,2.233,1.543,1.597,1.54,2.128,1.638
2013,0.528,0.193,4.382,0.834,1.595,1.865,1.478,1.844,0.177,-0.07,0.559,1.563,1.437,0.884,-0.699,2.62,0.149,-0.032,1.581,2.089,0.844,1.268,0.938,1.471,0.552,-0.31,-0.288,1.849,1.317,1.246,0.493,NA,1.184,NA,0.647,1.701,2.716,-0.538,2.19,1.664,1.982,2.6,1.808,-0.06,0.844,0.007,2.28,0.679,1.367,0.849,0.266,-0.022,1.252,2.015,2.175,1.393,2.048,1.315,1.516,0.253,0.657,2.212,1.757,1.635,1.707,0.144,2.107,1.442,1.354,0.922,0.706,1.32,0.956,1.824,1.507,1.566,1.238,1.936,1.867,1.266,0.992,1.441,1.35,-0.375,0.055,0.709,1.024,2.21,1.515,1.468,1.527,2.021,1.448
2014,0.344,-0.077,4.591,1.129,1.46,2.068,1.746,2.275,0.246,-0.105,0.584,1.645,1.415,0.775,-0.769,2.678,0.272,-0.125,1.539,2.2,0.669,0.885,0.717,1.131,0.421,-0.61,-0.652,1.742,1.297,1.142,0.352,NA,1.022,NA,0.508,1.743,2.579,-0.853,2,1.484,1.746,2.302,1.667,-0.219,0.669,-0.206,NA,0.695,NA,0.759,0.121,0.177,1.172,2.084,2.317,1.436,2.045,1.335,1.413,0.223,0.682,2.13,1.582,1.565,1.669,-0.008,2.089,1.311,1.253,0.952,0.471,1.062,0.839,1.612,1.449,1.645,1.071,1.91,1.81,1.308,1.176,1.791,1.262,-0.469,0.109,0.875,0.71,1.953,1.294,1.222,1.226,NA,1.338
2015,0.6,0.026,4.702,1.218,1.444,2.202,2.065,2.412,0.356,-0.163,0.64,1.762,1.736,0.918,-0.552,2.897,0.555,0.041,1.767,2.489,0.715,0.774,0.616,1.123,0.502,-0.607,-0.669,1.84,1.367,1.111,0.392,1.834,1.016,NA,0.569,1.812,2.511,-0.952,1.935,1.481,1.748,2.325,1.841,-0.123,0.715,-0.223,NA,0.861,NA,0.811,0.164,0.486,1.238,2.085,2.32,1.488,2.149,1.383,1.507,0.453,0.834,2.325,1.639,1.54,1.683,0.1,2.265,1.321,1.273,1.225,0.513,1.091,0.917,1.579,1.604,1.677,1.07,1.841,1.717,1.42,1.22,2.083,1.431,-0.403,0.498,1.147,0.677,1.903,1.29,1.295,1.296,NA,1.376
2016,0.841,0.106,4.821,1.296,1.485,2.35,2.098,2.59,0.514,-0.152,0.687,1.968,1.871,1.045,-0.469,3.013,0.806,0.185,2.007,2.544,0.904,0.831,0.645,1.232,0.668,-0.497,-0.611,1.979,1.406,1.081,0.448,2.039,1.085,NA,0.542,1.832,2.613,-0.995,2.039,1.577,1.81,2.357,1.819,0.064,0.904,-0.328,NA,0.819,NA,0.96,0.264,0.65,1.322,2.095,2.435,1.45,2.179,1.437,1.614,0.663,0.975,2.457,1.656,1.56,1.586,0.282,2.346,1.37,1.405,1.482,0.57,1.11,1.04,1.716,1.814,1.571,1.122,1.823,1.787,1.606,1.187,2.325,1.481,-0.322,0.637,1.333,0.594,1.974,1.36,1.395,1.331,NA,1.489
2017,0.968,0.262,4.909,1.435,1.64,2.508,2.359,2.757,0.597,0.045,0.899,2.204,2.05,1.295,-0.269,3.183,1.042,0.403,2.094,2.413,1.094,0.888,0.772,1.274,0.719,-0.35,-0.532,2.226,1.482,1.217,0.557,2.053,1.169,NA,0.632,1.918,2.752,-1.097,2.194,1.577,1.94,2.412,1.795,0.285,1.094,-0.271,NA,0.71,NA,1.178,0.442,0.804,1.505,2.383,2.643,1.557,2.301,1.614,1.614,0.761,1.041,2.544,1.766,1.609,1.586,0.43,2.507,1.506,1.522,1.687,0.683,1.178,1.041,1.632,1.799,1.855,1.329,2.051,2.031,1.79,1.353,2.556,1.639,-0.262,0.643,1.457,0.542,2.129,1.404,1.569,1.359,NA,1.613
2018,1.12,0.586,5.023,1.544,1.794,2.617,2.442,2.941,0.721,0.393,1.083,2.422,2.242,1.463,-0.034,3.255,1.177,0.57,2.3,2.589,1.363,1.121,1.007,1.437,0.867,-0.029,-0.303,2.481,1.705,1.298,0.722,2.21,1.326,NA,0.734,2.024,2.968,-1.06,2.364,1.723,2.122,2.612,2.037,0.603,1.363,-0.067,NA,0.603,NA,1.416,0.566,1.022,1.669,2.564,2.818,1.684,2.359,1.743,1.613,0.988,1.06,2.691,1.848,1.735,1.467,0.574,2.533,1.616,1.628,1.944,0.828,1.27,1.28,1.71,1.926,1.763,1.385,1.905,2.048,1.951,1.363,2.988,1.771,-0.143,0.939,1.788,0.689,2.324,1.585,1.914,1.567,NA,1.806
2019,1.435,0.907,4.916,1.473,1.938,2.758,2.436,3.063,0.805,0.465,1.082,2.563,2.43,1.74,0.224,3.58,1.483,0.927,2.708,2.627,1.375,1.288,1.112,1.52,0.969,0.03,-0.247,2.425,1.784,1.368,0.899,2.525,1.454,0.774,1.063,2.275,3.003,-1.141,2.457,1.778,2.243,2.574,2.152,0.939,1.375,-0.037,NA,0.484,NA,1.579,0.682,1.078,1.775,2.772,2.765,1.852,2.523,1.919,1.726,1.333,NA,2.62,1.849,1.906,1.411,0.722,2.701,1.864,1.845,2.187,0.874,1.202,1.629,1.823,2.229,1.676,1.429,1.905,2.058,2.036,1.453,3.137,2.087,0.162,0.988,1.981,0.654,2.396,1.656,2.048,1.703,NA,1.906
2020,1.757,1.345,5.117,1.68,1.924,3.106,2.648,3.347,0.842,0.603,1.195,2.674,2.88,2.15,0.627,3.657,1.91,1.307,2.929,2.698,1.342,1.336,1.293,1.534,1.021,0.067,-0.204,2.438,1.809,1.449,1.178,2.591,1.534,0.877,1.242,2.243,2.97,-1.349,2.463,1.674,2.241,2.537,2.095,1.332,1.342,0.011,NA,0.912,NA,1.724,0.909,1.344,1.785,3.114,2.848,1.936,2.575,1.958,1.851,1.559,NA,2.56,2.177,2.009,1.334,0.863,2.741,2.011,2.102,2.357,1.187,1.287,1.848,1.81,2.448,1.968,1.675,1.9,2.311,2.189,1.597,3.437,2.409,0.468,1.117,2.15,0.636,2.425,1.637,2.164,1.701,NA,2.065
2021,1.814,1.417,5.222,1.849,1.806,3.423,2.806,3.704,0.863,0.846,1.406,2.824,3.015,2.269,0.623,3.72,1.872,1.359,2.968,2.978,1.353,1.502,1.568,1.517,1.051,0.149,-0.049,2.51,1.909,1.506,1.429,2.659,1.499,NA,1.371,2.357,3.296,-1.149,2.719,1.773,2.391,2.718,2.344,1.463,1.353,0.249,NA,1.171,NA,1.96,1.23,1.811,1.961,3.217,2.918,2.064,2.624,1.856,1.787,1.651,NA,2.796,2.735,2.089,1.117,0.909,2.793,2.233,2.404,2.239,1.617,1.659,1.998,1.799,2.503,1.827,1.612,1.803,2.273,2.142,1.459,3.885,2.398,0.624,1.48,2.405,0.881,2.755,1.753,2.472,1.95,NA,2.304
2022,1.704,1.411,5.166,1.81,1.51,3.556,2.848,NA,0.92,0.699,1.166,2.679,3.169,2.257,0.619,3.519,1.818,1.292,2.874,2.72,0.962,1.246,1.257,1.235,0.767,-0.26,-0.388,1.957,1.573,1.348,1.285,2.505,1.428,NA,1.254,2.303,2.958,-1.476,2.553,1.377,2.122,2.252,1.831,1.518,0.962,-0.049,NA,0.993,NA,1.572,1.122,1.835,1.892,3.172,2.752,1.811,2.531,1.76,1.804,1.654,NA,2.162,2.446,1.818,0.809,0.646,2.726,2.152,2.193,2.079,1.327,1.274,1.943,1.615,2.406,1.791,1.481,1.697,1.958,1.935,1.439,3.82,2.249,0.673,1.427,2.459,0.408,2.551,1.332,2.106,1.662,NA,2.154
2023,1.928,1.78,5.28,1.92,1.806,3.538,2.806,NA,1.027,1.145,1.265,2.873,3.365,2.569,0.818,3.754,1.986,1.421,3.241,3.003,1.343,1.758,1.753,1.61,1.125,0.16,0.099,2.26,1.949,1.582,1.779,2.856,1.827,NA,1.613,2.503,3.372,-1.04,2.92,1.61,2.387,2.72,2.187,1.93,1.343,0.342,NA,1.161,NA,1.882,1.277,2.125,2.2,3.556,2.911,2.015,2.787,2.12,2.209,1.994,NA,2.622,2.717,2.032,1.003,0.925,2.952,2.491,2.417,2.185,1.886,1.654,2.306,1.916,2.705,2.001,1.786,2.056,2.126,2.129,1.798,4.047,2.462,0.925,1.669,2.469,0.91,3.103,1.754,2.61,2.111,NA,2.304
2024,2.177,2.353,5.422,1.971,2.29,3.524,NA,NA,0.875,1.71,1.617,3.176,3.628,2.86,1.13,4.079,2.163,1.648,3.635,3.121,NA,2.44,2.486,2.291,1.63,0.827,0.833,2.784,2.35,1.979,2.254,3.37,2.392,NA,2.072,2.756,4.177,-0.275,3.546,2.169,3.016,3.468,2.888,2.376,NA,0.786,2.899,1.305,2.58,2.278,1.692,2.166,2.602,4.002,3.048,2.503,3.134,2.575,2.694,2.403,NA,3.3,3.157,2.534,1.253,1.558,3.312,2.948,3.014,2.356,2.51,2.133,2.78,2.286,3.098,2.283,2.215,2.408,2.497,2.536,2.109,4.23,2.796,1.327,1.854,2.323,1.644,3.872,2.362,3.264,2.929,NA,2.611
