"","year","Montgomery AL","Mobile AL","Phoenix AZ","Flagstaff AZ","Fort Smith AR","Sacramento CA","LosAngeles CA","Fresno CA","Eureka CA","Grand Junction CO","Denver CO","Colorado Springs CO","Tampa FL","Pensacola FL","Jacksonville FL","Washington DC DC","Savannah GA","Augusta GA","Atlanta GA","Boise ID","Springfield  IL","Moline IL","Chicago IL","Indianapolis IN","Evansville IN","Cedar Rapids IA","Dubuque IA","Des Moines IA","Topeka KS","Dodge City KS","Concordia KS","Louisville KY","Shreveport LA","Portland ME","Baltimore MD","Boston MA","Sault Ste Marie MI","Marquette MI","Lansing MI","Grand Rapids MI","Detroit MI","Minneapolis MN","Duluth MN","Meridian MS","Springfield MO","Kansas City MO","Helena MT","Havre MT","Valentine NE","Omaha NE","North Platte NE","Winnemucca NV","Concord NH","Roswell NM","Albuquerque NM","Rochester NY","New York NY","Albany NY","Raleigh NC","Charlotte NC","Williston ND","Fargo ND","Bismarck ND","Columbus OH","Oklahoma OK","Pittsburgh PA","Philadelphia PA","Middletown Harrisburg PA","Erie PA","Columbia SC","Sioux Falls SD","Huron SD","Nashville TN","Memphis TN","Chattanooga TN","San Antonio TX","Houston TX","Dallas Fort Worth TX","Corpus Christi TX","Amarillo TX","Abilene TX","Salt Lake City UT","Norfolk VA","Lynchburg VA","Spokane WA","Seattle WA","Eau Claire WI","Milwaukee WI","Madison WI","La Crosse WI","Green Bay WI","Lander WY","Cheyenne WY"
"144",1993,7.17,0.887,1.768,4.644,6.505,-0.418,-1.853,-0.037,-7.075,1.001,1.736,1.659,-6.693,6.177,1.494,-3.518,1.873,-0.029,3.307,-1.195,1.233,4.836,2.252,3.476,0.375,2.864,1.251,5.556,2.467,-0.045,3.382,0.01,11.057,1.899,-3.395,1.404,2.814,3.341,2.408,6.212,1.963,3.885,2.204,4.94,6.723,3.193,-0.954,-1.101,0.689,2.47,0.937,-1.074,-1.123,1.938,2.072,0.13,4.422,2.314,-3.633,-2.028,-0.47,-1.517,0.478,1.37,7.679,1.591,-2.633,1.552,3.97,2.141,0.447,3.938,-5.134,1.987,-1.086,6.436,1.512,3.081,2.871,0.209,1.556,-0.624,-2.103,1.261,-0.614,-1.066,0.329,6.004,2.539,NA,1.946,-0.494,1.965
"145",1994,7.706,0.997,1.155,NA,7.22,-0.139,-1.877,0.298,-7.618,0.54,1.187,1.639,-5.201,8.589,3.324,-3.534,3.751,0.364,3.77,-1.579,0.522,4.112,1.811,2.424,-0.925,2.318,1.46,4.198,1.615,-0.032,2.424,-1.33,11.682,1.487,-2.759,1.142,2.122,2.508,3.028,8.002,2.437,3.157,2.574,6.126,7.047,2.15,-1.107,-0.755,0.602,1.282,0.706,-1.603,-1.732,1.138,1.979,-0.28,3.458,2.073,-4.619,-2.863,0.062,-1.244,0.895,1.19,7.252,2.193,-2.507,1.763,4.241,2.836,-0.23,3.043,-4.806,1.212,1.51,7.884,1.008,4.102,4.543,-0.06,2.167,-1.251,-1.345,0.549,-1.034,-1.283,-0.316,4.78,2.521,NA,1.305,-0.621,1.55
"146",1995,7.374,2.049,1.314,NA,6.196,1.236,-0.404,1.183,-4.806,0.337,1.382,2.064,-4.248,10.6,2.51,-3.14,4.998,1.594,4.067,-1.286,-0.223,3.407,1.092,1.272,-0.868,2.215,0.462,4.523,0.816,-0.315,2.572,NA,10.946,2.229,-2.743,0.993,2.769,1.245,2.119,7.437,1.311,2.557,2.821,6.26,5.583,0.341,-0.761,-0.21,1.388,NA,0.502,-1.322,-0.998,0.529,1.472,-0.28,3.618,2.486,-3.577,-2.977,0.287,-1.008,1.001,1.853,6.451,1.231,-2.874,1.933,3.088,3.556,0.096,3.545,-3.014,2.136,3.179,6.061,0.557,4.571,4.566,-0.467,2.251,-1.256,-2.244,0.911,0.012,0.464,0.437,4.14,1.985,NA,0.514,0.278,1.565
"147",1996,8.43,2.788,0.989,NA,8.133,1.312,-0.429,1.639,-2.5,0.457,1.212,2.095,-3.467,10.42,4.163,-1.295,4.081,1.058,4.477,-1.301,-0.602,2.14,0.991,2.313,1.764,1.172,-0.899,4.146,0.83,0.9,1.386,NA,9.577,3.624,-0.279,1.812,3.325,2.45,1.746,5.439,0.289,1.5,2.759,6.595,6.05,0.441,-0.998,-0.955,0.955,NA,1.393,-0.803,-0.296,-0.534,1.149,0.598,4.942,2.679,-1.358,-1.653,-0.428,-1.318,0.638,2.905,5.619,2.039,-1.271,2.984,3.325,3.446,-0.97,2.902,-1.312,5.775,4.485,3.568,0.345,4.64,3.214,-0.949,1.949,-1.465,0.501,3.586,0.98,1.697,-0.331,2.335,1.969,2.48,-0.077,0.212,1.689
"148",1997,7.657,4.09,0.616,NA,7.947,1.308,-0.271,1.488,-2.222,0.626,1.166,2.566,-1.604,11.596,5.551,-1.576,3.981,1.976,5.021,-1.041,-0.542,1.872,0.027,2.257,3.071,0.874,-1.97,3.632,0.192,1.509,0.637,NA,11.083,3.307,-0.553,0.303,3.025,2.109,1.39,5.095,-0.219,1.727,2.873,6.575,4.349,0.349,-0.944,-1.115,0.737,NA,1.113,-0.919,-0.538,-0.296,1.551,0.658,4.691,2.222,-1.486,-0.711,-0.419,-0.234,0.415,4.051,4.479,1.573,-1.359,2.264,2.84,2.788,-0.81,3.419,1.16,7.629,5.459,3.164,2.307,6.415,3.764,-0.656,1.95,-1.022,-0.22,3.049,0.957,3.03,-0.151,1.696,1.491,2.156,0.342,0.174,2.144
"149",1998,5.56,6.517,0.948,NA,8.838,2.925,1.351,2.314,0.986,0.753,1.263,2.925,-1.302,10.728,5.155,-1.156,4.111,2.653,5.052,-0.5,1.419,4.126,0.444,3.823,3.795,3.45,0.085,5.369,2.469,2.19,2.472,NA,12.505,4.421,-0.346,2.192,2.651,0.763,1.148,4.495,0.508,3.158,2.808,6.355,4.35,2.881,-0.69,-0.637,1.188,NA,1.472,0.018,-0.274,-0.497,1.223,2.394,5.093,3.161,0.016,-0.034,0.299,1.488,1.768,4.151,4.82,2.286,-2.035,3.585,2.319,3.096,0.388,3.831,3.22,7.786,6.394,5.468,5.498,7.335,4.897,-1.41,1.715,0.43,1.388,4.761,1.082,4.138,0.581,2.117,3.028,3.091,0.815,1.164,1.651
"150",1999,2.506,5.207,1.115,NA,8.51,2.532,1.701,2.24,2.395,1.011,1.811,4.139,-2.233,8.44,4.24,-2.165,4.302,1.394,2.606,-0.685,1.505,4.327,1.324,2.003,2.995,4.08,1.311,5.39,2.063,2.208,2.537,NA,11.917,4.332,-1.14,1.741,3.491,1.572,0.965,4.379,0.802,3.88,3.99,3.318,5.353,3.126,-0.985,-1.094,1.885,NA,2.005,-0.005,-0.065,0.315,1.553,2.443,2.733,3.057,-0.335,-1.522,0.664,2.098,3.28,2.534,4.656,1.656,-2.052,2.766,2.192,0.9,1,4.062,1.699,6.449,3.976,4.895,3.029,5.699,5.939,-0.667,0.612,0.694,1.265,2.822,1.09,4.88,0.901,2.875,3.882,4.144,1.253,0.963,1.989
"151",2000,0.963,4.184,1.129,NA,6.273,3.555,2.245,2.891,2.778,0.921,1.584,3.921,-2.687,7.521,5.097,-2.183,3.738,1.114,0.406,-0.688,-0.64,3.063,0.348,1.005,2.598,2.727,0.695,3.809,1.354,2.313,1.783,NA,11.141,3.13,-1.137,1.651,2.225,1.287,0.415,4.434,0.753,3.623,3.785,0.914,2.57,2.561,-0.99,-0.99,2.126,NA,2.057,0.346,-0.419,0.385,1.352,2.212,1.186,3.148,-0.156,-3.006,1.659,3.861,4.313,1.507,4.506,0.441,-1.159,2.577,1.828,0.174,1.691,3.772,1.233,4.197,1.932,4.649,3.755,4.797,6.037,-0.579,-0.311,1.259,1.656,1.635,0.596,3.271,0.869,3.226,4.262,3.567,0.712,0.667,1.399
"152",2001,-1.046,1.482,0.966,NA,5.707,4.194,2.698,3.044,3.937,0.838,1.198,3.669,-3.028,4.974,2.048,-2.15,0.06,-1.172,-1.34,-0.781,-0.931,3.637,1.423,1.441,4.318,3.294,0.455,2.811,2.703,2.87,2.509,NA,8.879,0.728,-0.696,0.498,2.751,1.004,0.53,4.012,1.234,3.377,2.463,0.46,3.34,5.041,-1.151,-1.601,1.857,NA,2.371,0.05,-1.251,-0.854,0.843,2.207,0.233,2.435,-0.224,-4.901,1.28,3.799,4.771,1.918,3.042,0.813,-1.68,2.041,2.094,-3.265,1.965,4.11,1.395,4.887,1.834,4.045,4.765,3.256,5.172,-0.302,-1.452,0.984,0.7,1.435,0.522,3.485,0.944,2.964,4.198,2.559,0.828,-0.265,0.881
"153",2002,-3.705,1.684,-0.176,NA,5.201,3.696,1.168,2.311,5.594,0.706,0.378,2.978,-0.319,3.699,1.202,-2.355,-1.034,-2.234,-2.569,-0.852,0.132,2.931,1.803,0.996,5.771,3.21,1.185,2.384,1.893,2.156,0.158,NA,8.042,1.301,-0.629,0.233,2.089,2.292,-0.764,2.724,0.551,4.251,2.713,-0.188,2.318,2.455,-0.83,-1.501,1.151,NA,1.176,0.243,-0.236,-0.897,0.274,2.017,0.418,3.433,0.192,-6.236,1.545,4.239,4.631,1.979,2.47,0.381,-0.787,2.573,2.558,-3.553,1.125,3.349,3.074,7.656,1.318,4.023,5.503,3.479,4.169,-0.54,-1.446,0.806,1.059,1.095,0.453,3.343,2.3,2.238,3.604,2.304,0.594,-0.778,0.49
"154",2003,-4.213,2.737,-0.828,NA,3.468,2.67,0.155,1.85,6.239,0.269,0.292,2.882,1.127,3.955,0.637,-0.413,-1.068,-0.71,-2.083,-1.117,-1.149,1.024,0.515,1.176,5.179,0.311,-0.761,-0.048,0.181,1.762,-1.905,NA,5.983,0.741,1.387,0.349,1.735,2.522,-1.829,1.489,0.627,3.302,1.974,1.566,1.001,0.104,-1.777,-2.055,0.647,NA,0.381,0.358,1.096,-1.642,0.006,2.271,1.832,3.94,1.388,-3.554,1.105,3.891,3.337,3.097,1,0.659,-0.207,3.196,2.848,-1.81,-0.305,1.99,4.583,8.454,3.866,3.668,4.278,2.651,3.271,-1.03,-1.425,0.514,3.632,2.881,0.531,4.641,1.308,0.784,2.444,0.474,0.312,-1.406,-0.047
"155",2004,-5.176,4.861,-0.908,-3.577,2.453,3.04,1.299,1.901,6.52,0.531,0.658,2.915,2.335,3.335,0.858,0.079,-4.294,-1.469,-2.725,-0.901,-1.266,1.465,0.714,2.903,5.852,0.933,-1.356,0.511,1.236,2.298,-1.364,NA,6.817,0.458,1.622,0.044,2.128,4.04,-1.891,0.763,0.883,3.074,1.904,1.474,0.422,1.029,-1.319,-1.948,0.531,NA,0.54,0.269,1.696,-1.069,0.071,3.098,2.286,4.467,2.45,-2.802,0.828,4.18,3.053,4.862,1.746,2.266,0.219,3.914,3.459,-2.848,0.5,2.883,4.524,8.876,2.513,4.157,6.469,2.998,2.861,0.047,-0.532,0.475,3.401,2.452,0.652,4.269,1.673,1.342,3.028,0.878,0.652,-1.211,0.039
"156",2005,-4.724,4.195,-1.155,-2.949,1.548,2.468,1.595,1.344,6.409,0.694,0.111,1.875,0.817,3.122,2.278,0.537,-4.802,-1.781,-2.359,-0.942,-1.248,-0.172,-0.165,3.73,5.323,0.867,-1.443,0.141,2.437,2.387,-1.413,NA,5.721,2.955,2.842,0.901,0.092,3.508,-1.17,0.891,0.832,3.849,1.713,1.153,-0.232,1.98,-1.344,-2.487,0.68,NA,0.655,0.297,3.593,-0.853,0.645,3.641,3.841,5.831,1.346,-3.432,0.708,5.071,3.085,4.358,0.489,3.5,1.288,4.241,4.042,-3.752,0.629,2.464,3.571,7.187,1.516,3.491,6.127,1.356,1.699,-0.286,-0.877,0.471,4.43,1.837,0.223,3.553,0.806,0.845,2.14,0.876,0.229,-1.97,-0.387
"157",2006,-6.562,2.457,-1.046,-2.515,0.873,2.012,0.981,1.041,5.369,0.675,-0.064,1.602,1.538,0.973,0.022,0.212,-4.973,-1.522,-1.973,-1.144,-1.178,0.781,0.958,3.153,5.541,0.852,-0.811,-0.403,1.957,1.257,-1.852,NA,5.511,3.201,1.335,0.938,-1.323,2.492,-0.813,2.575,2.017,4.001,0.603,0.73,-0.831,1.023,-1.063,-2.613,0.499,1.286,0.047,0.152,4.387,-1.122,0.976,3.241,4.211,5.9,0.801,-3.005,0.42,4.745,2.134,4.165,-0.412,2.442,0.463,3.606,3.506,-2.749,1.319,2.122,3.281,3.788,0.628,3.845,7.632,1.017,3.229,-0.149,-1.696,0.354,3.953,0.758,-0.187,3.328,0.488,2.226,2.644,0.895,0.754,-2.378,-0.754
"158",2007,-7.616,-0.032,-1.008,-2.33,1.379,1.467,0.478,0.976,5.312,0.325,-0.621,0.487,-1.034,-1.297,-1.104,0.123,-5.549,-3.169,-3.956,-1.445,-1.001,1.516,1.367,3.534,4.562,2.48,0.647,0.584,2.96,0.194,-1.554,NA,3.343,4.129,0.998,1.846,-1.096,3.064,-0.373,2.891,1.964,3.99,1.507,-1.223,-0.252,1.018,-1.084,-2.067,0.865,2.226,0.641,-0.022,5.374,-1.727,0.761,3.019,5.985,6.95,0.301,-5.018,0.689,4.785,2.551,4.335,1.974,3.058,1.424,4.637,3.723,-4.375,2.427,2.734,1.352,0.081,-1.139,5.178,8.162,1.522,3.764,-0.394,-0.82,-0.003,3.58,0.844,-0.535,2.897,0.449,2.257,4.221,1.99,0.733,-2.804,-1.264
"159",2008,-6.885,-1.774,-1.103,-3.175,3.085,-0.009,-0.864,0.057,1.961,0.139,-1.196,0.16,-2.192,-2.491,-1.058,1.178,-5.767,-3.58,-4.429,-2.191,-0.12,1.546,2.7,3.738,5.383,2.767,0.943,1.578,2.565,-0.154,-1.501,NA,3.19,4.777,2.058,1.925,-0.928,3.609,0.384,4.734,1.949,2.889,1.455,-1.332,0.913,0.53,-1.417,-1.992,0.488,1.907,1.059,-1.075,7.577,-1.693,0.613,2.143,6.477,7.835,0.08,-4.9,0.316,4.692,2.052,5.122,2.021,3.605,2.292,4.666,5.3,-4.594,1.862,2.946,0.968,1.321,-1.73,2.349,7.978,0.808,3.502,0.133,0.23,-1.21,2.584,-0.767,-0.684,1.564,0.459,3.237,4.633,2.072,1.184,-3.143,-0.82
"160",2009,-5.239,0.783,-1.438,-3.582,4.317,0.697,-0.731,0.348,0.9,0.109,-1.479,-1.026,-1.037,1.632,0.632,1.845,-4.534,-2.192,-1.371,-1.924,2.253,3.277,3.132,5.367,6.469,4.47,2.174,2.523,3.268,0.285,-1.368,NA,3.692,6.572,3.221,2.483,-1.51,3.207,1.309,5.745,2.14,2.315,0.554,0.455,1.946,1.016,-1.346,-2.278,0.728,0.828,1.512,-0.881,8.266,-2.257,0.451,2.185,7.688,8.094,-0.941,-3.577,0.178,4.65,1.719,5.911,1.665,3.268,2.693,5.367,5.293,-2.096,1.977,3.585,2.573,2.895,-0.213,3.777,9.875,2.538,2.636,-0.45,0.723,-0.976,3.511,-0.046,-0.618,1.197,0.007,3.03,5.275,1.746,1.472,-2.872,-0.557
"161",2010,-5.199,2.196,-1.311,-2.331,3.959,0.348,0.385,0.475,2.961,0.238,-1.635,-1.778,0.012,3.691,-0.005,1.257,-4.643,-3.116,-0.112,-1.63,3.823,4.013,3.557,4.706,4.892,NA,3.503,4.888,4.183,0.624,0.025,NA,0.977,7.756,3.377,2.889,-0.707,3.82,0.867,5.021,1.153,2.556,0.98,0.759,3.026,1.711,-0.887,-1.568,0.546,1.616,2.199,-0.643,8.285,-1.558,0.523,2.149,8.08,7.186,-1.181,-3.411,0.381,4.122,1.737,5.248,1.014,3.044,2.667,5.087,4.436,-2.167,3.192,4.666,4.238,3.958,-0.834,3.931,9.384,2.083,4.82,0.365,1.29,-0.741,3.665,0.738,-0.182,3.03,-0.428,2.191,5.027,2.803,2.163,-2.283,-0.369
"162",2011,-5.076,1.773,-1.517,-2.019,4.557,-0.126,-0.349,0.365,3.026,0.374,-1.55,-1.654,1.359,3.806,-0.123,2.951,-4.322,-3.531,-0.028,-1.435,3.384,3.473,3.963,5.48,6.907,NA,4.658,5.629,3.204,-0.175,0.407,NA,-1.653,9.621,5.572,5.056,-0.735,3.362,1.558,5.459,2.478,1.824,0.565,-0.956,2.558,0.053,-0.59,-1.038,0.687,1.619,2.2,-0.208,10.646,-1.869,0.345,3.276,11.796,9.695,-0.289,-1.582,0.922,4.492,1.925,7.059,1.141,3.821,5.999,9.884,6.743,-1.309,2.602,4.259,4.596,3.193,0.147,2.017,4.722,0.858,2.084,-0.803,0.786,-0.331,5.439,1.389,-0.013,2.913,-0.941,1.777,4.236,3.092,3.178,-1.279,0.215
"163",2012,-4.665,1.435,-1.371,-1.818,3.59,0.545,-0.269,0.687,3.52,0.04,-1.287,-1.628,0.751,4.085,-0.254,2.763,-5.043,-4.001,-1.107,-0.986,2.378,2.908,3.262,5.307,5.186,NA,2.913,5.334,2.727,0.181,1.005,NA,-0.789,10.644,5.354,4.622,-0.714,2.583,2.206,5.896,2.139,0.942,0.768,-0.58,1.87,-0.196,-0.867,-1.126,0.633,1.276,2.098,-0.233,10.649,-2.533,0.252,3.255,11.127,9.258,-0.944,-2.251,0.728,3.463,2.286,6.765,0.673,4.762,5.659,10.322,5.838,-1.745,1.929,4.737,3.515,-0.601,0.154,1.33,2.983,-0.458,0.827,-1.395,0.312,-0.094,5.187,0.684,0.736,4.603,-2.456,2.037,4.253,2.709,3.534,-1.428,0.244
"164",2013,-3.829,1.27,-1.211,-1.124,5.272,-0.317,-1.246,0.074,0.597,0.552,-0.919,-0.948,0.8,5.157,-0.179,1.104,-4.407,-3.799,0.204,-1.042,2.736,3.66,4.269,4.643,6.553,NA,3.843,5.377,3.188,-0.03,1.308,NA,0.897,11.206,3.381,4.221,1.125,3.028,3.869,7.032,2.99,1.947,1.316,-1.05,2.793,0.457,-0.743,-0.191,1.416,1.849,2.45,-0.503,10.235,-1.878,0.549,3.761,9.917,9.009,-0.876,-3.552,1.4,4.831,3.556,6.017,3.688,4.323,6.449,9.122,7.184,-1.843,2.327,5.614,3.056,0.144,0.473,1.685,2.293,0.027,0.302,-1.217,0.73,-0.527,3.576,-0.649,0.431,3.681,-1.269,3.809,5.617,4.055,3.951,-0.9,0.708
"165",2014,-3.928,0.924,-1.172,-1.418,4.479,-0.423,-2.279,-0.243,0.539,0.788,-0.508,-1.357,0.656,6.519,-1.58,1.296,-3.069,-3.99,-0.394,-0.651,3.848,3.933,5.058,3.912,6.926,NA,4.474,6.198,2.297,-0.158,1.572,NA,-1.275,12.671,4.072,4.289,1.985,3.578,4.137,7.124,3.39,2.748,1.396,-2.085,2.329,0.702,NA,-0.172,NA,2.382,2.558,-0.317,10.623,-1.727,0.25,3.277,10.103,8.98,-0.054,-3.422,1.157,4.252,3.338,4.899,2.848,2.266,6.268,8.153,6.598,-1.786,2.162,4.281,2.197,0.536,-1.016,-0.027,0.159,-2.598,-0.248,-2.008,-1.505,-0.57,3.596,0.044,0.428,5.421,-0.127,3.726,5.21,3.681,3.844,-1.115,1.05
"166",2015,-3.214,1.678,-1.161,-1.094,8.8,-1.933,-4.174,-0.513,-1.085,0.931,0.044,-0.018,3.111,5.355,-3.571,1.36,-2.912,-3.997,0.801,-0.922,5.096,6.598,6.634,4.354,8.003,NA,5.845,7.857,2.374,0.62,1.831,8.41,1.953,10.413,4.275,3.402,2.725,3.191,4.358,6.782,3.591,3.021,1.386,-1.2,4.771,0.947,NA,-0.075,NA,4.491,2.796,-0.237,8.734,-0.988,0.257,3.402,8.603,8.073,1.901,-2.662,0.987,3.339,3.189,5.373,5.994,2.199,6.771,8.48,6.318,-0.029,2.285,4.261,3.346,1.801,1.035,2.741,3.041,1.766,1.723,-0.045,0.569,-0.644,4.004,0.793,0.098,6.36,1.501,4.418,6.699,4.098,4.511,-0.811,1.221
"167",2016,-3.535,3.002,-1.087,-0.07,6.894,-1.583,-4.155,-0.542,-0.793,0.827,0.365,0.033,2.705,7.291,-3.526,-0.247,-0.812,-4.245,-0.176,-1.264,6.11,6.511,6.036,3.844,6.343,NA,6.13,7.973,3.425,0.847,2.44,7.08,3.622,8.54,4.003,1.418,3.343,3.99,4.163,6.972,3.141,4.296,2.297,-1.476,4.509,2.725,NA,0.991,NA,5.049,3.124,-0.226,6.517,-1.072,-0.381,2.368,6.831,6.753,1.657,-3.749,1.361,3.977,4.31,4.788,5.839,2.21,5.483,7.969,6.453,-0.393,2.834,4.46,3.047,3.74,-0.074,4.999,3.351,2.339,1.603,-0.513,2.192,-0.774,5.974,0.613,-0.185,6.036,2.729,3.551,7.582,5.567,4.755,0.576,1.479
"168",2017,-0.185,5.855,-1.096,-0.016,7.096,-0.162,-3.397,0.076,0.465,0.363,0.134,0.698,2.938,10.707,-1.116,0.02,-0.482,-3.137,1.887,-0.535,6.088,5.897,6.766,4.919,6.912,NA,5.46,6.828,3.224,1.492,3.156,7.083,2.548,8.214,4.334,1.816,4.633,4.4,5.012,7.637,3.42,4.1,2.973,1.164,4.837,4.025,NA,0.59,NA,3.781,3.393,0.002,6.483,-1.209,-0.635,3.659,5.168,6.247,2.63,-2.141,1.149,2.873,3.782,5.463,3.508,2.355,5.404,8.158,7.587,1.214,2.22,3.455,4.773,5.397,1.912,3.007,4.768,0.996,0.542,-0.115,0.702,-0.51,7.515,0.227,0.652,6.928,3.234,3.654,6.969,5.417,5.236,NA,1.521
"169",2018,0.157,5.587,-1.125,0.257,6.413,0.326,-3.954,0.095,1.123,0.458,-0.031,0.946,4.709,14.039,-0.85,1.999,-0.91,-2.026,4.747,-0.393,5.256,5.561,6.603,4.423,7.148,NA,5.983,6.089,2.406,2.46,3.198,9.287,4.256,7.37,7.019,1.702,4.235,5.371,5.133,7.202,4.403,5.218,2.853,2.856,3.313,3.635,NA,0.386,NA,3.81,3.182,0.425,6.016,-1.449,-0.598,3.874,6.362,5.896,3.612,-0.45,1.23,1.954,3.759,6.437,4.511,4.169,7.523,10.236,7.259,1.738,3.592,2.875,5.85,5.391,3.772,5.751,5.07,3.883,1.796,-0.997,1.657,-0.363,8.703,3.636,0.619,7.428,3.561,3.718,7.627,6.012,5.83,NA,1.553
"170",2019,-1.218,3.873,-0.858,1.702,7.518,1.068,-2.738,0.427,2.628,0.535,-0.292,0.549,6.198,10.465,-2.137,1.543,-1.885,-2.001,2.178,-0.065,4.928,5.395,7.3,4.273,8.25,NA,6.739,7.144,3.107,2.197,3.998,9.225,2.535,6.749,5.275,2.391,6.004,6.983,5.39,8.054,4.631,7.055,3.377,3.132,3.555,4.461,NA,0.743,NA,5.009,3.686,0.715,5.84,-1.172,-0.387,3.96,6.303,6.379,3.866,0.139,NA,2.589,4.405,7.283,5.476,6.131,7.016,10.492,7.244,0.469,5.24,4.285,6.49,6.63,3.829,4.884,5.562,3.246,2.292,-0.524,1.816,0.062,6.855,2.845,0.619,6.972,5.459,4.738,8.431,7.441,7.927,NA,1.482
"171",2020,1.591,2.635,-1.272,-0.128,10.153,-0.384,-4.066,-0.607,-0.092,0.166,-0.704,0.601,6.849,11.816,0.219,3.799,-0.489,0.763,4.062,-0.109,4.228,4.522,7.461,5.38,11.033,3.691,6.062,5.404,3.008,1.939,3.404,10.664,5.616,5.646,6.666,1.179,7.113,7.958,6.236,8.211,5.276,6.749,1.943,5.998,3.91,3.677,NA,0.199,NA,3.275,2.842,0.189,5.375,-2.072,-0.695,3.343,5.901,6.301,5.691,2.379,NA,1.579,2.929,8.702,6.08,6.279,7.546,10.35,7.495,2.552,3.049,3.017,5.716,7.409,6.905,3.215,5.767,4.446,0.492,-1.92,1.677,-0.909,7.391,5.25,0.252,6.405,4.793,5.256,8.537,6.236,7.513,NA,0.924
"172",2021,2.349,3.953,-1.027,0.369,10.557,-0.158,-3.865,-0.661,-0.334,0.169,-1.182,0.423,6.459,15.791,1.139,3.519,0.931,3.294,5.52,0.078,5.868,4.521,5.493,5.392,8.59,3.018,4.418,4.57,3.383,2.891,2.607,8.716,6.922,4.961,5.093,1.173,6.698,7.797,5.803,7.506,4.505,6.654,1.907,7.597,4.545,4.109,NA,-0.256,NA,3.725,2.784,0.325,4.3,-1.05,-0.617,2.916,4.593,5.469,5.846,1.494,NA,1.105,1.849,7.247,6.204,5.981,5.494,7.605,5.899,3.66,3.394,2.774,6.434,6.902,6.708,4.918,8.397,5.218,3.967,-1.118,2.437,-1.289,6.173,4.661,-0.138,7.099,5.09,4.41,7.765,6.46,6.684,NA,0.415
